question,document
I clicked on 'Edit Course Profile' but I don’t see a way to change my name. Is there a specific field where I need to put in my preferred nickname instead of the ‘Lucid Elbakyan’ thing?,c2903069a0
The answer mentions changing my display name – can I use my Slack username or GitHub handle instead of just a random nickname?  I want to be recognized by my online profile.,c2903069a0
"What exactly does it mean when the FAQ says my official name needs to be in the ‘Second field’? Like, do I *have* to put in my passport details if I don’t want to be called ‘Lucid Elbakyan’ on my certificate?",c2903069a0
I saw the image – so the first field is just where I can change what everyone sees as my name?  Is that right?,c2903069a0
I see that I need to do peer reviews to get a certificate – what exactly does that involve?,69d122f12e
"So, if I choose to go through the self-paced version of the course, I won’t actually receive a certificate at the end, right?",69d122f12e
When is the last time I can complete the peer review portion of the course to earn a certificate?,69d122f12e
"What exactly *is* a ‘live cohort’ in this context, and why does it matter for getting my certificate?",69d122f12e
"I'm wondering – if I finish all the projects during the live cohort, will I still need to do those 3 peer reviews to get the certificate?",69d122f12e
Hi! I totally missed the first homework assignment – is there *any* way I could still get a certificate for this course?,9f689c185f
"Okay, so if I don’t finish all the homeworks, will that stop me from getting my certificate? Just want to be clear on that.",9f689c185f
"The FAQ says homework isn't mandatory, but it's 'recommended.' What exactly does that mean in terms of actually affecting my grade or the leaderboard?",9f689c185f
"I was wondering – if I don’t do the homework, will it still count towards how high I rank on the leaderboard?  It seems a little confusing.",9f689c185f
"Just to confirm, getting the certificate *only* happens after completing the Capstone project, right? So the homework is just for practice?",9f689c185f
"Okay, so if my homework has '[DRAFT]' in the title, it basically means it’s not finished and could still change, right?",96286b4be4
I noticed the answer about homework readiness – what exactly do I need to check to make sure I'm working on the *correct* version of the assignment?,96286b4be4
It says I shouldn’t work on the material ahead of time if the homework is marked '[DRAFT]'… why is that a problem?,96286b4be4
How do I actually know when the homework is *completely* ready? What are the specific steps I need to look for on the course platform?,96286b4be4
"Just to be clear, if the title doesn’t have '[DRAFT]', then the homework is definitely finalized and won't change anymore?",96286b4be4
"Hey, can you tell me exactly when the next run of this LLM Zoomcamp is scheduled to happen? I’m really hoping to sign up for Summer 2027.",bd31146b0e
"I saw the FAQ says it's happening in Summer 2027. Is that the *only* time it will be offered, or are there any plans for other sessions?",bd31146b0e
Just want to confirm – so the course is definitely planned for Summer 2027?  What’s the official date range we should be looking at?,bd31146b0e
"I'm wondering if the 'Summer 2027' timeframe is firm, or could it potentially shift slightly? Any updates on that?",bd31146b0e
"Okay, so just to make sure I understand – the Zoomcamp will *only* be available during Summer 2027.  Is there any flexibility with the dates within that period?",bd31146b0e
"Okay, so I see there are lectures – but where exactly can I find them? Is there a central place for all of them?",31456f4b5f
The GitHub repo says to look in the lesson folders... does that mean I have to download everything to watch the videos?,31456f4b5f
"I noticed you mentioned following the GitHub repo over the YouTube playlist. Why is that, and what happens if the YouTube links break?",31456f4b5f
"Could you explain a little more about what’s actually *in* those ‘lessons’ folders? Are they just video files, or are there other materials too?",31456f4b5f
"Just to be clear, I'm supposed to find the videos directly linked at the top of each lesson page on GitHub, right?",31456f4b5f
"Hey, I'm really confused about where to find all the materials for this LLM Zoomcamp – like the syllabus, when things are due, and how I’m doing on my assignments?",20c5a1347e
"Is there a central place where I can see everything related to the course? Specifically, I need to know the schedule, homework deadlines, and whether I'm on track with my progress.",20c5a1347e
I noticed you mentioned a ‘course management platform.’ Can you tell me exactly which one we should be using for the LLM Zoomcamp – is it a website or something?,20c5a1347e
"Just want to double-check - does this course management system also show us our individual progress and grades, or just the overall deadlines and assignments?",20c5a1347e
"I’m trying to figure out how to keep track of everything.  So, where exactly can I find the syllabus, homework details, and see my progress within the LLM Zoomcamp?",20c5a1347e
"Okay, so I’ve heard there are modules, but are there actually any live sessions planned for them? Like, do we get to talk to the instructors?",d65e05bd7a
I'm a little worried about getting stuck. What if I need help while I'm working through the materials – where should I go to ask questions?,d65e05bd7a
"The FAQ mentions ‘AI Shipping Labs’... is that like an extra paid thing to get more support, or is it just a recommendation for how to get help?",d65e05bd7a
I see you say the course materials are pre-recorded.  So there aren't any live Q&A sessions during those recordings themselves? Just watching videos?,d65e05bd7a
"Just to be clear – if I don’t use ‘AI Shipping Labs’, will I still have access to all the core course content and information, or is that part of a paid upgrade?",d65e05bd7a
"I was wondering if it’s okay to share my work and learn from others using Bluesky within the public credits part of the course? Specifically, can I post about what I'm learning on Bluesky?",dbf5369006
Just wanted to clarify – are we allowed to use Bluesky accounts for all the activities and discussions during the public credit sections of the llm-zoomcamp course?,dbf5369006
"I’m a little confused. Can I actually *learn* by posting questions and sharing ideas on Bluesky while still getting credit for this course, or is it just for observing?",dbf5369006
"Regarding using Bluesky, does that mean I can get feedback and help from other students who are also taking the llm-zoomcamp course through Bluesky posts?",dbf5369006
"To be clear, if I’m participating in the public credits section of the course by posting on Bluesky, is that considered a valid way to learn and earn those credits?",dbf5369006
"Hey, I was wondering – where exactly can we find the LLM Zoomcamp Telegram group? I want to stay updated on any important announcements.",054f3fd58f
"Just curious, is there a specific Telegram channel for the Zoomcamp course, or should I be using a different one?",054f3fd58f
"Okay, so I’ve seen mentions of a Telegram channel.  Is that *the* place to go for updates about the course, or do we have another channel to use?",054f3fd58f
"I'm trying to figure out where to ask questions related to the Zoomcamp. Is there a Telegram group for that too, or should I be using Slack instead?",054f3fd58f
Can someone tell me where the LLM Zoomcamp is being discussed?  I’ve seen references to both Telegram and Slack – which one is best?,054f3fd58f
"Hey, I'm really confused – if the FAQ data changes constantly, why did we use a specific snapshot of it for the course materials?",e2d595f23c
"So, the videos were made back in May 2026? That explains why the number of questions shown in the videos doesn’t match what I’m seeing when I run the code with the current FAQ dataset.",e2d595f23c
I noticed that the FAQ data updates regularly. Does this mean we need to keep updating our code every time a new question is added to the dataset?,e2d595f23c
"Could you explain exactly *how* the FAQ data gets updated? Is it automated, or does someone manually add and remove questions?",e2d595f23c
"Just to be clear – because the videos are old, the number of records in the FAQ dataset will always be different from what’s shown in those recordings, right?",e2d595f23c
"Hey, I saw that the homework submission thing is *still* open even though the deadline was yesterday. Can I actually turn in my work now?",a9353fadfe
"Just to be clear – if the form is still active, it’s okay to submit my answers even after the due date?  I don't want to miss out!",a9353fadfe
What happens if the submission form closes completely?  Is there a point where I can no longer upload my assignment?,a9353fadfe
"So, basically, as long as the form is open, I’m good to submit my work, right? It doesn’t matter when the deadline was?",a9353fadfe
"I'm just wondering – what exactly triggers the form closing? Is it a specific time, or does it close automatically once everyone has submitted?",a9353fadfe
I missed a deadline for one of the assignments – is there *any* way to get an extension or submit it late?,cdc3b285e5
What happens if I don’t actually finish all the homework? Will that stop me from getting my certificate?,cdc3b285e5
"The submission form is closed, but I still want to turn in my work. Is that even possible?",cdc3b285e5
I'm trying to keep track of my score on the leaderboard – how much do the homework points *really* matter?,cdc3b285e5
"Just to be clear, the homework isn’t required for me to pass the Capstone project, right?",cdc3b285e5
"Okay, so just to be clear – my actual name won’t show up anywhere online related to this course, right? Like on a website or anything?",651ba06b34
"I see you mentioned a ‘random nickname’ for the leaderboard. How exactly does that work? Is it completely random, or can I influence what it is?",651ba06b34
What exactly *is* the 'Edit Course Profile' section and where do I find it? I want to make sure I set both my certificate name and my leaderboard nickname.,651ba06b34
"If I choose to use my real name on the certificate, will that mean my leaderboard nickname disappears completely?",651ba06b34
Just one more thing – is there a limit to how often I can change my certificate name versus my leaderboard nickname?,651ba06b34
I noticed we're not using Langchain – is that because it’s too complicated for this introductory course on RAG?,b7cdde6b25
"So, you’re saying building the retrieval and indexing parts from scratch is important even though Langchain exists? What’s the benefit of doing that instead?",b7cdde6b25
"You mentioned learning HTML/CSS/JS before React. Does that mean we'll be using a framework later in the course, or is this just about understanding the fundamentals first?",b7cdde6b25
"If Langchain helps build LLM apps, why are *we* focusing on prompting, retrieval, indexing, and evaluation specifically? Are those the most crucial parts for RAG?",b7cdde6b25
Is there a reason we’re deliberately avoiding using a framework like Langchain – is it to ensure we really understand how everything works under the hood?,b7cdde6b25
"Hey, I'm getting this 'Insufficient credits' error when I run the `responses.create` command with OpenAI – what exactly does that mean and how do I fix it?",f5df151c59
"I’m trying to use the OpenAI responses.create command but keep getting an ‘OpenAI API Error: Insufficient credits’. Is there a limit on how many requests I can make, or something I need to adjust in my account settings?",f5df151c59
"The FAQ says 'OpenAI API Error: Insufficient credits' when using `responses.create`.  Does this mean I actually *haven’t* added any money to my OpenAI account, or is it just a limit being reached?",f5df151c59
I keep running into the ‘Insufficient credits’ error with the OpenAI responses.create command. Could this be related to how long it's been since I last used the API?  Does it expire somehow?,f5df151c59
"Just wondering – if I’m getting the 'OpenAI API Error: Insufficient credits' message when using `responses.create`, what are the *actual* steps I need to take to resolve this problem?",f5df151c59
I'm getting a 'RateLimitError: Error code: 429' when I run my OpenAI command – what exactly does that mean and why is it happening?,152af39a53
"The answer says I need to add credits to my account, but where do I actually find the billing settings on OpenAI’s website? It’s a little confusing.",152af39a53
"Okay, so the error is about quota… how much credit do I *really* need to start using the API without hitting this limit?",152af39a53
"The FAQ mentions recreating my API key after adding funds. Does that mean I lose access to anything if I do that, and where exactly do I go to do it?",152af39a53
"It says to specify a model in `responses.create()`, but what are some of the different models available to me, and which ones would be good for RAG?",152af39a53
"Okay, so I’m really curious – exactly how much will it *actually* cost me to use the OpenAI API during this RAG module? Is there a minimum charge or anything?",554d0eb78b
"The FAQ says ‘fractions of one cent’ for initial usage. Can you give me a bit more detail on what that looks like in practice? Like, could I really just test it out without spending much at all?",554d0eb78b
"I want to make sure I understand – is the $5 recharge amount a flat fee, or does it depend on how many API calls I’m making?  What's the breakdown there?",554d0eb78b
"Regarding the OpenAI API costs, are there any different pricing tiers available for students in this course, or is it just the standard rate?",554d0eb78b
"Just to be clear, if I start using the API and then stop, do I still have to pay for the recharge amount, or does it reset automatically?",554d0eb78b
"Hey, I saw the FAQ about OpenAI – does it *really* mean we don't need to pay for their API to do all the assignments in this course?",85384a18e5
"Just wondering, can we actually use free AI models instead of the OpenAI API for the homeworks? Where can I find a list of those alternatives you mentioned?",85384a18e5
"Okay, so the FAQ says we don’t have to pay for OpenAI. But what exactly *is* included in that ‘free or low-cost’ option – is there a limit on how much I can use it?",85384a18e5
I'm a little confused about the GitHub repo link… does the 'awesome-llms.md' file actually contain a full list of all the AI models we could potentially use instead of OpenAI?,85384a18e5
"To be clear, this course is entirely based around using the OpenAI API, right? Or are there options to avoid paying for it altogether?",85384a18e5
"I see you guys are using uv for managing dependencies – so what exactly *is* uv, and why does it seem so much faster than just using pip?",f81dea8f7e
The answer mentioned ‘reproducible lockfiles’ – can you explain a little more about what those are and how they help with RAG specifically?,f81dea8f7e
"Okay, I get that uv is easier, but if pip and virtualenv still work, why aren't we *always* using them? What’s the main benefit of switching to uv in this course?",f81dea8f7e
"The documentation link says https://docs.astral.sh/uv/, but could you maybe give a super brief overview of what uv actually does – like, what problems is it trying to solve for us?",f81dea8f7e
"So, if I’m just using pip and virtualenv normally, will I *still* be able to follow along with the lessons? Or do I need to learn uv from scratch?",f81dea8f7e
"Hey, I’m getting an error saying my OpenAI API key isn't being recognized. I followed the instructions about using `python-dotenv`, but it still doesn’t work. What am I missing?",86d99bbf21
"I just installed `python-dotenv` but when I run `load_dotenv()` in my Jupyter notebook, nothing seems to happen. Is there a specific step I'm forgetting?",86d99bbf21
"The FAQ says to check the variable name in my `.env` file, but I’m pretty sure it *is* exactly `OPENAI_API_KEY`. Could there be another reason why it might not find my key?",86d99bbf21
"I followed all the steps – installed `python-dotenv`, loaded the `.env` file with `load_dotenv()`, and still can't access the OpenAI API.  Where else could I look to troubleshoot this?",86d99bbf21
"Just wondering, if I’m using `python-dotenv`, does it automatically handle setting the environment variable for me, or do I need to do something extra to make sure my key is actually used?",86d99bbf21
"Okay, so I’ve added `.env` to my `.gitignore`, but I'm still seeing the API keys pop up in my terminal when I run my script. What am I doing wrong?",233dabe430
"I’m trying to use `python-dotenv`, but I keep getting an error saying ‘ModuleNotFoundError: No module named 'dotenv''. How do I make sure it’s installed correctly?",233dabe430
"The answer mentions creating a `.env` file with the keys.  Can you show me exactly what the format should look like for each API key – like, does it need to be all uppercase or something?",233dabe430
"I've got `python-dotenv` installed, but when I use `os.getenv()` to get the API keys, it always returns `None`. What could be causing that problem?",233dabe430
"Just to clarify, is it *essential* to load the `.env` file at the very beginning of my Python script, or can I load it later if I need to?",233dabe430
"I noticed the FAQ says I can use different LLMs than what we’re assigned. Like, can I actually use Google's Gemini instead of whatever OpenAI suggests?",ee43413718
The homework doesn’t *require* a paid service – is that really true? What if I want to try something like Groq?,ee43413718
"If I decide to switch to a different LLM provider, will I have to completely rewrite all the code we've been working on?",ee43413718
The link to ‘OpenAI API alternatives’ seems super helpful! But what exactly *is* OpenRouter and should I be looking into it?,ee43413718
"So basically, as long as I can get an LLM response, I don’t need to worry about the specific format or how it's tokenized, right?",ee43413718
"Okay, so I see I need a Gemini API key in my `.env` file. But what exactly *is* a Google-compatible OpenAI base URL, and how do I find the right one to use?",0ae5c221b9
"The code example shows using `gemini-3.1-flash-lite`. Are there different Gemini models available that I can choose from for this module, and if so, which ones are recommended?",0ae5c221b9
"I’m a little confused about the ‘message_history’ part of the code. Does the order of the messages (developer role first, then user) actually matter when using Google Gemini through this endpoint?",0ae5c221b9
The FAQ mentions needing to change notebook code because of the older chat completions style versus the newer Responses format. Can you give me a specific example of where I'd need to make these changes in the notebook?,0ae5c221b9
"What happens if I try to use a different model name than ‘gemini-3.1-flash-lite’ – like ‘gemini-pro’? Will the code still work, or do I need to adjust anything else?",0ae5c221b9
"Okay, so the Ollama installation instructions say to download a `.pkg` or `.msi` file. But what exactly *is* Ollama? Is it just a specific AI model, or something else?",1d0b969028
The Linux instructions use `curl -fsSL https://ollama.com/install.sh | sh`.  I’m not super familiar with `curl` and piping commands like that – could you break down exactly what this command does in simpler terms?,1d0b969028
"After running `ollama run llama3`, it says it downloads the model (~4GB). Does Ollama automatically handle downloading the model, or do I need to download it separately first? And where does it store the downloaded models?",1d0b969028
"The instructions mention a JSON response when I check `curl http://localhost:11434`. What kind of information is actually in that JSON data? Is it just a list of available models, or does it have more details about them?",1d0b969028
I tried running the Python example you gave. It says `your_prompt` – what’s a good example prompt I could use to test if Ollama is working correctly and get a response?,1d0b969028
"I'm getting a 'connection refused' error when I try to prompt Ollama through the RAG homework. What exactly does that mean, and how do I fix it?",c6fc2d4d11
The instructions say to use `!nohup ollama serve > nohup.out 2>&1 &` to restart the Ollama server. But what if I just stop and restart the notebook cell where I’m running that command? Does that still work?,c6fc2d4d11
What does `> nohup.out 2>&1` actually do in that `ollama serve` command? Is it important to redirect the output like this?,c6fc2d4d11
"I ran the `!nohup ollama serve > nohup.out 2>&1 &` command, but I’m *still* getting a 'connection refused' error. What could be going wrong?",c6fc2d4d11
"Just to clarify, if I restart the Ollama server using that command, do I need to run the whole cell with `ollama serve` again afterwards, or just re-execute that specific line?",c6fc2d4d11
"Hey, I’m using `tiktoken.encode()` to count my prompt tokens, but it seems way lower than the number OpenAI gives me when I send the request. What's going on there?",bf0403d21b
"So, I read that OpenAI adds extra tokens for formatting things like messages in their API calls – is that why the token counts don’t match up exactly with what I calculate using `tiktoken`?",bf0403d21b
"Could you explain a bit more about those ‘structural tokens’ that OpenAI adds? Are they just for the role and content of each message, or are there other things included?",bf0403d21b
"I noticed my prompt has some extra whitespace and newlines. Does that significantly increase the token count that OpenAI reports, or is it just a small difference?",bf0403d21b
"Okay, so basically OpenAI’s counting method includes these internal tokens for messages and a global marker – how can I make sure my token counts are more accurate when working with their API?",bf0403d21b
"Okay, so I see you recommend `dirdotenv`. What exactly *is* it and why is it better than just manually exporting the API key in every terminal session?",8b2f5e9d04
"The instructions say to add `eval ""$(dirdotenv hook bash)""` to my `.bashrc` or `.zshrc`.  But what does ‘hook bash’ actually do? Does that mean I need to know a bit about shell scripting?",8b2f5e9d04
"You mentioned adding `.env` and `.envrc` to `.gitignore`. Is it *really* important to always do that, even if I'm not pushing my `.env` file to GitHub? What happens if someone gets access to it?",8b2f5e9d04
"I’m using GitHub Codespaces.  Does the `dirdotenv` method still work there, or should I be using those ‘Codespaces secrets’ you linked to?",8b2f5e9d04
"For Python projects, you suggested `python-dotenv`. Can I use that with the `.env` file I create, and if so, what's the simplest way to actually *use* it in my code?",8b2f5e9d04
"Okay, so I'm trying to figure out how to set up field weights with minsearch – it seems a bit confusing. Could you break down exactly what steps I should take to actually *test* different weight settings?",87d4ea4e08
"The answer mentions using a ground-truth dataset. But what kind of questions should I be including in that dataset? Like, are there specific types of queries I should focus on when evaluating field weights?",87d4ea4e08
I see you recommend comparing retrieval metrics like hit rate and precision@k.  Could you explain *why* those metrics are important for judging whether my field weights are working correctly?,87d4ea4e08
"You said tuning weights by trial and error is okay for small projects, but evaluation is better. What exactly does 'evaluation' involve in this context – is it just running some tests or something more involved?",87d4ea4e08
The FAQ mentions the evaluation module covers this topic more directly.  Could you point me to where I can find more information about that module specifically related to choosing and testing field weights?,87d4ea4e08
"Okay, so when I'm prepping documents for RAG, it sounds like cleaning them up a *lot* is key? Like, what kind of 'noise' am I actually looking for?",649c280e6d
Could you give me a bit more detail on ‘chunking’ the documents? How do I decide how big those chunks should be – is there a general rule?,649c280e6d
The answer mentions JSON being convenient… but what if my data isn’t really suited to JSON? Are there other formats we could use for storing the processed documents?,649c280e6d
What exactly does ‘preserving useful context’ mean in practice? Can you give me some examples of things I should definitely keep from a document when preparing it for RAG?,649c280e6d
"I get that making retrieval accurate is the goal, but if I'm just shortening text, am I *guaranteeing* better results?  Does that make sense?",649c280e6d
"Hey, the FAQ says ‘Failed to hardlink files in Codespaces’ is just a warning – is it actually going to mess up my RAG setup?",acf8fa5356
I saw that you can use `export UV_LINK_MODE=copy` to stop the hardlinking issue. But what exactly *is* ‘uv’ and why does it need to hardlink files in the first place?,acf8fa5356
"Okay, so I tried adding `export UV_LINK_MODE=copy` to my `.bashrc`, but it still shows the warning! What am I doing wrong?",acf8fa5356
"The documentation link says to check the uv docs for more details. Can you explain a little bit about what ‘cache’ and ‘target environment’ mean in this context, because those terms are confusing.",acf8fa5356
"If I want this `UV_LINK_MODE=copy` thing to always be on, should I just keep adding it to my `.bashrc`, or is there a better way to make sure it sticks?",acf8fa5356
I'm getting an error saying 'dotenv' isn’t recognized – what exactly do I need to install to fix this?,0bed1f48da
"Okay, so I installed `python-dotenv`, but I still can’t seem to import it correctly. What’s the right way to actually use it in my Python code?",0bed1f48da
"The documentation says [python-dotenv](https://pypi.org/project/python-dotenv/), but I'm still having trouble getting it working. Can you walk me through the steps again?",0bed1f48da
"I added `python-dotenv` with `uv add`, but it’s *still* not recognized! Is there a specific version I should be installing, or something else I might have missed?",0bed1f48da
"How do I actually load my .env file using `python-dotenv`?  I've imported the package, but I don’t see any variables being accessed.",0bed1f48da
"I’m wondering if it's possible to actually do this course on my own computer instead of using Codespaces? Like, is there a way to set everything up locally?",aa310de435
"Okay, so I see you mentioned Codespaces is the easiest way to start. But what exactly *do* I need to install and configure if I want to run the course locally – things like Python and Docker?",aa310de435
"Just to be clear, if I choose to run it locally, do I have to really meticulously document every single step of my setup so that it’s reproducible later on?",aa310de435
Is there any specific reason why Codespaces is recommended over just setting up everything myself? What's the big advantage?,aa310de435
What kind of tools are we talking about needing to install when running this course locally?  I’m a little lost with all the different things I might need!,aa310de435
"Okay, so if I’m working on something in a Codespace and I just… forget to commit it? Will all my changes still be there the next time I open it?",610ccb23c0
"I read that Codespaces use a Linux VM. Does that mean my code is actually stored *inside* that virtual machine, or somewhere else entirely?",610ccb23c0
"Seriously though, what’s the big deal about committing regularly? Why isn't it enough to just make changes in the Codespace and hope for the best?",610ccb23c0
"What exactly happens if a Codespace stops working – does my code get lost forever, or is there some kind of backup system in place?",610ccb23c0
"If I’m connected to my GitHub repo through Codespaces, how do I actually *make* sure that all my changes are saved back up to the repository?",610ccb23c0
"Okay, so the error says my WSL2 is only using Y.Y GiB of memory – that’s not all my computer's RAM, right? How exactly do I tell WSL2 to use more?",f3dd94f323
"I followed the steps in the article about `.wslconfig`, but when I restart WSL with `wsl --shutdown` it still gives me the same error. What am I missing?",f3dd94f323
"The instructions say to put `memory=8GB` in my `.wslconfig` file, but what if I have a really powerful computer and want to allocate *more* than 8GB? Is there a limit?",f3dd94f323
"I ran the `free` command after changing the settings, and it still shows Y.Y GiB being used.  Is there something else I could be doing wrong that’s preventing WSL2 from getting the full RAM I requested?",f3dd94f323
"Just to clarify, does this `.wslconfig` file need to be in a specific folder, or can I put it anywhere as long as it's accessible by Windows?",f3dd94f323
I’m having trouble getting my Codespace to reconnect – it just gets stuck saying ‘Finishing up’. What exactly am I supposed to do about that?,830f3d2018
"My whole VS Code setup disappeared after restarting the Codespace. Is there a way to fix that, or does it always start from scratch?",830f3d2018
"The answer says to reinstall with `uv`, but what *is* `uv` and how do I actually use it to get my stuff back?  Can you give me more detail?",830f3d2018
"It mentions committing changes often – why is that so important when using Codespaces, and what happens if I don’t commit before the Codespace resets?",830f3d2018
"If Codespaces keeps messing up for me, is there a way to actually do this course offline instead of relying on GitHub Codespaces?  Where can I find more info about running it locally?",830f3d2018
"Okay, so the course uses OpenAI, but I’m wondering if I can actually use a different LLM provider altogether? Like, can I swap it out for something else?",c6ff9083c0
"The answer mentions Groq and OpenRouter – are those easy to set up, or do I need some serious technical skills to switch to one of these providers?",c6ff9083c0
I saw you talk about using Hugging Face models. What’s the difference between running a model through Hugging Face and just using the OpenAI API? Is it significantly harder?,c6ff9083c0
What exactly does ‘changing the base_url’ mean when you're talking about switching to another LLM provider? Can you explain that in more detail?,c6ff9083c0
"You mentioned Ollama and vLLM – are those options good for someone who doesn’t really want to deal with setting up a whole server themselves, or is there something simpler I could use?",c6ff9083c0
"Okay, so you said 'tools and functions' are basically the same thing in agentic RAG? Can you give me a more specific example of what a tool might *do*?",c296ea5a21
I get that the model decides when to use these tools – but how does it actually *know* which one to pick from all the options available? Is there a scoring system or something?,c296ea5a21
"The answer mentioned searching documents and querying databases. Could you explain a little more about what’s involved in calling an API as a tool, like what kind of data might be exchanged?",c296ea5a21
"If basic RAG always retrieves information before answering, why is agentic RAG different? What's the core advantage of letting the model decide when to use these tools?",c296ea5a21
You said the model can ‘run a calculation’. Can you give me an example of a type of calculation that might be useful in an agentic RAG setup?,c296ea5a21
"Okay, so there are a few free LLMs that can actually use tools? Like, what specifically are we talking about?",0d74a3616f
"I see you mentioned Groq’s Deepseek R1 and Llama 4 – are those *really* free to use for development purposes, or is there a catch?",0d74a3616f
What exactly does ‘adapting the code’ mean when you say it's different from using OpenAI? Can you give me an example?,0d74a3616f
"Besides Groq, which other LLM providers support tool calling – things like Gemini and Mistral?",0d74a3616f
"Where can I find more detailed information about how to actually set up these tools with different models, especially since the schemas are different?",0d74a3616f
"Okay, so I'm trying to use the Responses API with Mistral, but I’m getting this error: ""AttributeError: 'str' object has no attribute 'output'."" What exactly am I doing wrong?",9e7b3f0c25
"The FAQ says to use `response.choices[0].message.content` when not using OpenAI. But what *is* a ‘choice’ in that context, and how does it relate to the prompt I send?",9e7b3f0c25
"I see you mention adapting the 'tools_schema'. Can you give me an example of what this looks like? Like, what kind of information should I be including there when using a provider other than OpenAI?",9e7b3f0c25
Is it *really* okay to just stick with the older `chat.completions` API if my provider has better support for it? What are the downsides of trying to force the Responses API to work?,9e7b3f0c25
"The answer mentions adapting the schema. Does that mean I need to completely rewrite the schema every time I switch between different LLM providers, or is there a way to make it more reusable?",9e7b3f0c25
"Okay, so I'm getting this 400 error – ‘Missing required parameter: 'tools[0].function'.’ What exactly does that mean and how do I fix it when I’m using Azure OpenAI?",b9c7c6bb34
"The answer mentions a JSON thing for `get_weather_tool`. Can you break down *exactly* what fields I need to include in that JSON, like the ‘type’ and ‘name’ things?  I'm a little lost on how to build it.",b9c7c6bb34
"This error is about 'missing_required_parameter'. Does this mean I *have* to always include the `city` parameter when calling the weather tool, or can I just leave it out sometimes?",b9c7c6bb34
The JSON example looks pretty detailed.  Is there a simpler version of this `get_weather_tool` that I could use if I just want basic weather information without all the extra details about parameters and types?,b9c7c6bb34
"I see you’ve provided a specific JSON structure for the tool. But what if I'm using a *different* OpenAI service? Does this same JSON format still work, or do I need to adjust it based on which platform I'm using?",b9c7c6bb34
"I’m trying to use toyaikit with Groq, but I keep getting a 404 error. The documentation says to switch to ‘chat completions’, but how exactly do I do that in the code? What’s the difference between using `OpenAIResponsesRunner` and `OpenAIChatCompletionsRunner`?",0224d980b3
"The example code shows how to use Anthropic, but it just assumes the API key is in the environment. Can I still use toyaikit with Anthropic if I don't want to set up my own environment variables?",0224d980b3
"Okay, so I switched to using `OpenAIChatCompletionsClient` with Groq, but I’m getting a warning about ‘UnknownModelWarning: No pricing data…’. Is this normal and does it still work correctly?",0224d980b3
"The code mentions passing an explicit model ID for Anthropic. What if I want to use a different Anthropic model than `claude-haiku-4-5`?  Will that still work, or do I need to stick with the ones listed in the example?",0224d980b3
"I’m using `runner.loop(prompt=...)` to run my prompts, but how do I access all the messages and tokens generated during the conversation? The documentation says there's a `.last_message`, but what about the rest of the chat?",0224d980b3
"Okay, so I’m totally lost – where exactly do I go to find the actual questions we need to answer for this Module 1 homework?",53f15299b6
"I saw you mentioned a GitHub repo. Is that *just* for the questions, or does it have like, example solutions too?  And how do I actually access the materials?",53f15299b6
