question,answer_llm,answer_orig,document
"Hi! I’m really interested in this LLM Zoomcamp. I just found it now – is there any chance I can still sign up, even though the course has already started?",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Okay, so I'm wondering if it's possible to join the course after it’s begun?  I want to know if I could get a certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Just wanted to clarify - if I do end up participating in the Zoomcamp, will I still be able to get a certificate for completing the course?","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard. You also need to peer-review three capstones after submitting your project.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I saw that you need to submit a project to get a certificate. What’s the deadline for submitting my project so I can actually receive one?,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can people join this LLM Zoomcamp even if they haven't started yet? And what exactly needs to happen for me to earn a certificate?,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Hey, I’m signed up for the LLM Zoomcamp – can you tell me exactly when I should expect to get that confirmation email after registering?",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"I saw that I'm accepted even if I don't get an email. So, is it okay to just jump straight into the course materials and start working on the assignments while the registration form is still open?",Yes. You don't need it. You’re accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Just to be clear, does the Zoomcamp actually check against a list of registered students, or is it totally fine to just start learning without registering at all?",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
I’m a little confused – what's the point of even filling out the registration form if it doesn’t get verified? Is it just for tracking interest?,"Yes, it’s just for tracking interest before the start date. You don’t need it. You’re accepted.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I don’t receive an email confirmation, should I still be able to access the course content and submit my homework as normal?","Yes, you need to submit your project while we’re still accepting submissions.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Okay, so I’m totally lost about the leaderboard! It says I'm not on it – how exactly do I find out which entry is mine? And what does ‘Lucid Elbakyan’ even mean?","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry. If you want to see what your Display name is, click on the ""Edit Course Profile"" button.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
I clicked on 'Edit Course Profile' but I don’t see a way to change my name. Is there a specific field where I need to put in my preferred nickname instead of the ‘Lucid Elbakyan’ thing?,"Yes, you can change your nickname/displayed name. It’s in the “First field” – this is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
The answer mentions changing my display name – can I use my Slack username or GitHub handle instead of just a random nickname?  I want to be recognized by my online profile.,"Yes, you can change your nickname/displayed name to your Slack username, GitHub username, or any other nickname of your choice in the “Edit Course Profile” section. This is useful if you want to remain anonymous.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"What exactly does it mean when the FAQ says my official name needs to be in the ‘Second field’? Like, do I *have* to put in my passport details if I don’t want to be called ‘Lucid Elbakyan’ on my certificate?","Yes. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default. You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
I saw the image – so the first field is just where I can change what everyone sees as my name?  Is that right?,"Yes. The first field is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
I see that I need to do peer reviews to get a certificate – what exactly does that involve?,You can only get a certificate if you finish the course with a “live” cohort. We don’t award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project. You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"So, if I choose to go through the self-paced version of the course, I won’t actually receive a certificate at the end, right?","Yes, you won't actually receive a certificate if you follow the course in a self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project. You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
When is the last time I can complete the peer review portion of the course to earn a certificate?,You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"What exactly *is* a ‘live cohort’ in this context, and why does it matter for getting my certificate?","A “live cohort” refers to the course being completed with other students in a live, interactive setting. You need to finish the course with a live cohort because you must peer-review three capstone projects after submitting your own – this can only happen when the course is running live.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"I'm wondering – if I finish all the projects during the live cohort, will I still need to do those 3 peer reviews to get the certificate?","Yes, you need to participate in the peer-review of three peers in your cohort. Remember that the submission does not count towards the certification if you do not participate in the peer-review of three peers in your cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Hi! I totally missed the first homework assignment – is there *any* way I could still get a certificate for this course?,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Okay, so if I don’t finish all the homeworks, will that stop me from getting my certificate? Just want to be clear on that.","Yes, you must complete the peer review of three capstone(s) after submitting your project in order to receive a certificate. Not complying with this rule implies you may fail to achieve the Certificate at the end of the course.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"The FAQ says homework isn't mandatory, but it's 'recommended.' What exactly does that mean in terms of actually affecting my grade or the leaderboard?","Homework points only count toward your rank on the leaderboard. So you’ll still appear on the leaderboard with your other submissions, even if you miss a homework.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"I was wondering – if I don’t do the homework, will it still count towards how high I rank on the leaderboard?  It seems a little confusing.","Yes, missing a homework won't affect your certificate: homework isn't mandatory, only passing the Capstone project is. Homework points only count toward your leaderboard rank, so you’ll still appear on the leaderboard with your other submissions.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Just to confirm, getting the certificate *only* happens after completing the Capstone project, right? So the homework is just for practice?","Yes, the homework is just for practice. You need to pass the Capstone project to get the certificate. Homework isn’t mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Okay, so if my homework has '[DRAFT]' in the title, it basically means it’s not finished and could still change, right?","Yes, that's correct. If the homework title contains `[DRAFT]`, it means the homework is not ready yet and the content can still change. The homework is only considered complete when both of these conditions are true:

*   The homework form is open on the course management platform.
*   The homework title does not contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
I noticed the answer about homework readiness – what exactly do I need to check to make sure I'm working on the *correct* version of the assignment?,"The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
It says I shouldn’t work on the material ahead of time if the homework is marked '[DRAFT]'… why is that a problem?,Because the content can still change until the homework form is open and the title doesn't contain “[DRAFT]”. Working in advance is at your own risk.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How do I actually know when the homework is *completely* ready? What are the specific steps I need to look for on the course platform?,"The homework is ready only when both of these things are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Just to be clear, if the title doesn’t have '[DRAFT]', then the homework is definitely finalized and won't change anymore?","Yes, if the homework title does not contain “[DRAFT],” then the homework is definitely finalized and will not change anymore. The homework is ready only when both conditions are met: the homework form is open on the course management platform, and the homework title does not contain “[DRAFT].”","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
"Hey, can you tell me exactly when the next run of this LLM Zoomcamp is scheduled to happen? I’m really hoping to sign up for Summer 2027.",Summer 2027.,Summer 2027.,bd31146b0e
"I saw the FAQ says it's happening in Summer 2027. Is that the *only* time it will be offered, or are there any plans for other sessions?",Summer 2027 is the only time the course will be offered.,Summer 2027.,bd31146b0e
Just want to confirm – so the course is definitely planned for Summer 2027?  What’s the official date range we should be looking at?,Summer 2027.,Summer 2027.,bd31146b0e
"I'm wondering if the 'Summer 2027' timeframe is firm, or could it potentially shift slightly? Any updates on that?",I don’t know.,Summer 2027.,bd31146b0e
"Okay, so just to make sure I understand – the Zoomcamp will *only* be available during Summer 2027.  Is there any flexibility with the dates within that period?","No, the course will only be offered during Summer 2027.",Summer 2027.,bd31146b0e
"Okay, so I see there are lectures – but where exactly can I find them? Is there a central place for all of them?","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point. Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
The GitHub repo says to look in the lesson folders... does that mean I have to download everything to watch the videos?,"Yes, use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point. Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"I noticed you mentioned following the GitHub repo over the YouTube playlist. Why is that, and what happens if the YouTube links break?","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point. Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Could you explain a little more about what’s actually *in* those ‘lessons’ folders? Are they just video files, or are there other materials too?",Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Just to be clear, I'm supposed to find the videos directly linked at the top of each lesson page on GitHub, right?","Yes, use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point. Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Hey, I'm really confused about where to find all the materials for this LLM Zoomcamp – like the syllabus, when things are due, and how I’m doing on my assignments?","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Is there a central place where I can see everything related to the course? Specifically, I need to know the schedule, homework deadlines, and whether I'm on track with my progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) to track the syllabus, deadlines, homework, and your progress. It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
I noticed you mentioned a ‘course management platform.’ Can you tell me exactly which one we should be using for the LLM Zoomcamp – is it a website or something?,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Just want to double-check - does this course management system also show us our individual progress and grades, or just the overall deadlines and assignments?","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
